memory_cap_gib,stripe_degree,depth_span,chunk_rows,worker_count,pod_count,workers_per_pod,estimated_max_static_bytes,estimated_routed_expert_weight_bytes,expert_allocation_overhead_factor,estimated_max_peak_bytes,estimated_max_peak_gib,largest_expert_fraction,largest_layer_fraction_estimate,capacity_valid,invalid_reason,valid,ownership_valid,memory_evidence
4,16,1,1,1488,93,16,1209284073,982646784,1.0030678938241964,1353646127,1.260681196115911,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,1,2,1488,93,16,1209284073,982646784,1.0030678938241964,1354002623,1.2610132088884711,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,1,4,1488,93,16,1209284073,982646784,1.0030678938241964,1354715613,1.2616772325709462,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,2,1,752,47,16,2271753369,1965293568,1.0030678938241964,2543144468,2.3684878535568714,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,2,2,752,47,16,2271753369,1965293568,1.0030678938241964,2543530496,2.368847370147705,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,2,4,752,47,16,2271753369,1965293568,1.0030678938241964,2544302551,2.36956640239805,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,4,1,384,24,16,4370192139,3930587136,1.0030678938241964,4901849084,4.565202709287405,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,4,2,384,24,16,4370192139,3930587136,1.0030678938241964,4902294176,4.565617233514786,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,4,4,384,24,16,4370192139,3930587136,1.0030678938241964,4903184359,4.566446281038225,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,8,1,192,12,16,8593582294,7861174272,1.0030678938241964,9454925882,8.805585915222764,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,8,2,192,12,16,8593582294,7861174272,1.0030678938241964,9455489103,8.806110455654562,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,16,8,4,192,12,16,8593582294,7861174272,1.0030678938241964,9456615544,8.807159535586834,0.0625,0.0625,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
4,32,1,1,2976,93,32,604642037,491323392,1.0,692938109,0.6453489037230611,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
