workers,rtt_ms,bandwidth_gbps,transmission_ms,projected_distributed_layer_p50_ms,whole_layer_relative_throughput,break_even_vs_resident,useful_90_percent_capacity
8,0.25,100.0,0.0057344,3.789000357212448,0.9680125769896694,False,True
8,0.5,0.1,5.7344,9.767665957212447,0.3755042418595095,False,False
8,0.5,0.25,2.29376,6.327025957212448,0.5797036435134136,False,False
8,0.5,0.5,1.14688,5.1801459572124475,0.7080495473092278,False,False
8,0.5,1.0,0.57344,4.606705957212448,0.7961871311229538,False,False
8,0.5,2.5,0.229376,4.262641957212448,0.8604522821331574,False,False
8,0.5,5.0,0.114688,4.147953957212448,0.8842431805739892,False,False
8,0.5,10.0,0.057344,4.090609957212448,0.8966388969774639,False,False
8,0.5,25.0,0.0229376,4.056203557212448,0.9042445597874847,False,True
8,0.5,100.0,0.0057344,4.039000357212448,0.9080959830692773,False,True
8,1.0,0.1,5.7344,10.267665957212447,0.35721847743046026,False,False
8,1.0,0.25,2.29376,6.827025957212448,0.5372471150670128,False,False
8,1.0,0.5,1.14688,5.6801459572124475,0.6457228436784723,False,False
8,1.0,1.0,0.57344,5.106705957212448,0.7182320718544188,False,False
8,1.0,2.5,0.229376,4.762641957212448,0.770118777130739,False,False
8,1.0,5.0,0.114688,4.647953957212448,0.7891214142318477,False,False
8,1.0,10.0,0.057344,4.590609957212448,0.798978792401521,False,False
8,1.0,25.0,0.0229376,4.556203557212448,0.8050123208814695,False,False
8,1.0,100.0,0.0057344,4.539000357212448,0.808063386505772,False,False
8,2.0,0.1,5.7344,11.267665957212447,0.32551550728678075,False,False
8,2.0,0.25,2.29376,7.827025957212448,0.4686071082491039,False,False
8,2.0,0.5,1.14688,6.6801459572124475,0.5490598593942299,False,False
8,2.0,1.0,0.57344,6.106705957212448,0.6006184063387022,False,False
8,2.0,2.5,0.229376,5.762641957212448,0.6364788975670141,False,False
8,2.0,5.0,0.114688,5.647953957212448,0.6494033109664805,False,False
8,2.0,10.0,0.057344,5.590609957212448,0.6560643700904532,False,False
8,2.0,25.0,0.0229376,5.556203557212448,0.6601270025895413,False,False
8,2.0,100.0,0.0057344,5.539000357212448,0.662177245615101,False,False
8,5.0,0.1,5.7344,14.267665957212447,0.25707077885054425,False,False
8,5.0,0.25,2.29376,10.827025957212449,0.3387633884406351,False,False
8,5.0,0.5,1.14688,9.680145957212448,0.3788992455498265,False,False
8,5.0,1.0,0.57344,9.106705957212448,0.4027581451770854,False,False
8,5.0,2.5,0.229376,8.762641957212448,0.41857239151270675,False,False
8,5.0,5.0,0.114688,8.647953957212447,0.4241234421629907,False,False
8,5.0,10.0,0.057344,8.590609957212449,0.426954549009714,False,False
8,5.0,25.0,0.0229376,8.556203557212449,0.428671428335553,False,False
8,5.0,100.0,0.0057344,8.539000357212448,0.4295350563959165,False,False
8,10.0,0.1,5.7344,19.267665957212447,0.1903603689281854,False,False
8,10.0,0.25,2.29376,15.827025957212449,0.231742843533315,False,False
8,10.0,0.5,1.14688,14.680145957212448,0.2498476521071636,False,False
8,10.0,1.0,0.57344,14.106705957212448,0.26000400172265126,False,False
8,10.0,2.5,0.229376,13.762641957212448,0.2665040630573008,False,False
8,10.0,5.0,0.114688,13.647953957212447,0.26874357955037653,False,False
8,10.0,10.0,0.057344,13.590609957212449,0.26987751186645764,False,False
8,10.0,25.0,0.0229376,13.556203557212449,0.27056247602955047,False,False
8,10.0,100.0,0.0057344,13.539000357212448,0.2709062636257412,False,False
8,20.0,0.1,5.7344,29.26766595721245,0.12531918347578863,False,False
8,20.0,0.25,2.29376,25.82702595721245,0.14201402848614594,False,False
8,20.0,0.5,1.14688,24.68014595721245,0.1486133836630789,False,False
8,20.0,1.0,0.57344,24.10670595721245,0.15214853520468796,False,False
8,20.0,2.5,0.229376,23.76264195721245,0.15435152398476246,False,False
8,20.0,5.0,0.114688,23.64795395721245,0.1551000990037596,False,False
8,20.0,10.0,0.057344,23.59060995721245,0.1554771159648896,False,False
8,20.0,25.0,0.0229376,23.55620355721245,0.15570420722047934,False,False
8,20.0,100.0,0.0057344,23.53900035721245,0.15581800179871147,False,False
16,0.1,0.1,3.44064,7.142514001824855,0.5167158228961215,False,False
