edge_class,rtt_ms,bandwidth_gbps,measured_loopback_and_serialization_base_ms,one_way_propagation_ms,wire_transfer_ms,edge_service_ms,stage_bottleneck_ms,pipeline_service_ms,capacity_retention_percent,network_hidden_by_pipeline_ms,network_exposed_to_pipeline_ms,two_stage_sequential_latency_ms,useful_90_percent
kimi_coarse_stage_fp32_v1,2.0,5.0,0.40975000000000006,1.0,0.4132528,1.8230028,3.081055998802185,3.081055998802185,100.0,1.8230028,0.0,7.071258768093872,True
kimi_coarse_stage_fp32_v1,2.0,10.0,0.40975000000000006,1.0,0.2066264,1.6163764,3.081055998802185,3.081055998802185,100.0,1.6163764,0.0,6.864632368093872,True
kimi_coarse_stage_fp32_v1,2.0,25.0,0.40975000000000006,1.0,0.08265056,1.49240056,3.081055998802185,3.081055998802185,100.0,1.49240056,0.0,6.740656528093872,True
kimi_coarse_stage_fp32_v1,2.0,100.0,0.40975000000000006,1.0,0.02066264,1.4304126400000001,3.081055998802185,3.081055998802185,100.0,1.4304126400000001,0.0,6.678668608093872,True
kimi_coarse_stage_fp32_v1,5.0,0.1,0.40975000000000006,2.5,20.66264,23.57239,3.081055998802185,23.57239,13.070613538984317,3.081055998802185,20.491334001197814,28.82064596809387,False
kimi_coarse_stage_fp32_v1,5.0,0.25,0.40975000000000006,2.5,8.265056,11.174806,3.081055998802185,11.174806,27.571449551805955,3.081055998802185,8.093750001197815,16.423061968093872,False
kimi_coarse_stage_fp32_v1,5.0,0.5,0.40975000000000006,2.5,4.132528,7.042278,3.081055998802185,7.042278,43.7508431050604,3.081055998802185,3.9612220011978145,12.290533968093872,False
kimi_coarse_stage_fp32_v1,5.0,1.0,0.40975000000000006,2.5,2.066264,4.976013999999999,3.081055998802185,4.976013999999999,61.9181537431805,3.081055998802185,1.8949580011978142,10.224269968093871,False
kimi_coarse_stage_fp32_v1,5.0,2.5,0.40975000000000006,2.5,0.8265056,3.7362556,3.081055998802185,3.7362556,82.46373719191442,3.081055998802185,0.6551996011978147,8.984511568093872,False
kimi_coarse_stage_fp32_v1,5.0,5.0,0.40975000000000006,2.5,0.4132528,3.3230028,3.081055998802185,3.3230028,92.71903107641634,3.081055998802185,0.24194680119781475,8.571258768093871,True
kimi_coarse_stage_fp32_v1,5.0,10.0,0.40975000000000006,2.5,0.2066264,3.1163764,3.081055998802185,3.1163764,98.86661953935298,3.081055998802185,0.03532040119781499,8.364632368093872,True
kimi_coarse_stage_fp32_v1,5.0,25.0,0.40975000000000006,2.5,0.08265056,2.9924005599999997,3.081055998802185,3.081055998802185,100.0,2.9924005599999997,0.0,8.240656528093872,True
kimi_coarse_stage_fp32_v1,5.0,100.0,0.40975000000000006,2.5,0.02066264,2.9304126399999997,3.081055998802185,3.081055998802185,100.0,2.9304126399999997,0.0,8.178668608093872,True
kimi_coarse_stage_fp32_v1,10.0,0.1,0.40975000000000006,5.0,20.66264,26.07239,3.081055998802185,26.07239,11.817313252840208,3.081055998802185,22.991334001197814,31.32064596809387,False
kimi_coarse_stage_fp32_v1,10.0,0.25,0.40975000000000006,5.0,8.265056,13.674806,3.081055998802185,13.674806,22.53089366534476,3.081055998802185,10.593750001197815,18.923061968093872,False
kimi_coarse_stage_fp32_v1,10.0,0.5,0.40975000000000006,5.0,4.132528,9.542278,3.081055998802185,9.542278,32.28847450055621,3.081055998802185,6.4612220011978145,14.790533968093872,False
kimi_coarse_stage_fp32_v1,10.0,1.0,0.40975000000000006,5.0,2.066264,7.476013999999999,3.081055998802185,7.476013999999999,41.2125498802194,3.081055998802185,4.394958001197814,12.724269968093871,False
kimi_coarse_stage_fp32_v1,10.0,2.5,0.40975000000000006,5.0,0.8265056,6.2362556,3.081055998802185,6.2362556,49.405543910069774,3.081055998802185,3.1551996011978147,11.484511568093872,False
kimi_coarse_stage_fp32_v1,10.0,5.0,0.40975000000000006,5.0,0.4132528,5.823002799999999,3.081055998802185,5.823002799999999,52.911806925495306,3.081055998802185,2.7419468011978143,11.071258768093871,False
kimi_coarse_stage_fp32_v1,10.0,10.0,0.40975000000000006,5.0,0.2066264,5.6163764,3.081055998802185,5.6163764,54.858431475536165,3.081055998802185,2.535320401197815,10.864632368093872,False
kimi_coarse_stage_fp32_v1,10.0,25.0,0.40975000000000006,5.0,0.08265056,5.49240056,3.081055998802185,5.49240056,56.096709719987814,3.081055998802185,2.411344561197815,10.740656528093872,False
kimi_coarse_stage_fp32_v1,10.0,100.0,0.40975000000000006,5.0,0.02066264,5.43041264,3.081055998802185,5.43041264,56.73705117926701,3.081055998802185,2.349356641197815,10.678668608093872,False
kimi_coarse_stage_fp32_v1,20.0,0.1,0.40975000000000006,10.0,20.66264,31.07239,3.081055998802185,31.07239,9.915735477065605,3.081055998802185,27.991334001197814,36.32064596809387,False
kimi_coarse_stage_fp32_v1,20.0,0.25,0.40975000000000006,10.0,8.265056,18.674806,3.081055998802185,18.674806,16.498463217246726,3.081055998802185,15.593750001197815,23.923061968093872,False
kimi_coarse_stage_fp32_v1,20.0,0.5,0.40975000000000006,10.0,4.132528,14.542278,3.081055998802185,14.542278,21.186886943037294,3.081055998802185,11.461222001197815,19.79053396809387,False
kimi_coarse_stage_fp32_v1,20.0,1.0,0.40975000000000006,10.0,2.066264,12.476014000000001,3.081055998802185,12.476014000000001,24.695836336847528,3.081055998802185,9.394958001197816,17.72426996809387,False
kimi_coarse_stage_fp32_v1,20.0,2.5,0.40975000000000006,10.0,0.8265056,11.2362556,3.081055998802185,11.2362556,27.420664930425623,3.081055998802185,8.155199601197815,16.484511568093872,False
kimi_coarse_stage_fp32_v1,20.0,5.0,0.40975000000000006,10.0,0.4132528,10.823002800000001,3.081055998802185,10.823002800000001,28.467663325396025,3.081055998802185,7.741946801197816,16.071258768093873,False
kimi_coarse_stage_fp32_v1,20.0,10.0,0.40975000000000006,10.0,0.2066264,10.6163764,3.081055998802185,10.6163764,29.021729097719113,3.081055998802185,7.535320401197815,15.864632368093872,False
kimi_coarse_stage_fp32_v1,20.0,25.0,0.40975000000000006,10.0,0.08265056,10.49240056,3.081055998802185,10.49240056,29.364643307157394,3.081055998802185,7.411344561197815,15.740656528093872,False
kimi_coarse_stage_fp32_v1,20.0,100.0,0.40975000000000006,10.0,0.02066264,10.43041264,3.081055998802185,10.43041264,29.539157319495896,3.081055998802185,7.349356641197815,15.678668608093872,False
