layer,layer_type,group_index,rows,sample_index,cuda_ms,input_copy_ms,output_copy_ms,outer_elapsed_ms,checkpoint_reads_in_timed_region,finite
89,KDA,0,1,135,0.8918399810791016,0.1086,0.0292,1.2833,0,True
89,KDA,0,1,136,0.9095680117607117,0.0175,0.0296,1.0055,0,True
89,KDA,0,1,137,0.928928017616272,0.0146,0.0298,1.0118,0,True
89,KDA,0,1,138,0.910207986831665,0.0161,0.0291,0.9941,0,True
89,KDA,0,1,139,0.9070720076560974,0.0156,0.0297,0.9892,0,True
89,KDA,0,1,140,0.9078080058097839,0.0149,0.0295,0.9955,0,True
89,KDA,0,1,141,0.9077759981155396,0.0162,0.0289,0.9921,0,True
89,KDA,0,1,142,0.9057919979095459,0.0174,0.0296,0.9913,0,True
89,KDA,0,1,143,0.9064319729804993,0.0166,0.0282,0.9925,0,True
89,KDA,0,1,144,0.9074559807777405,0.0181,0.0275,0.9961,0,True
89,KDA,0,1,145,0.90556800365448,0.0174,0.0293,0.9895,0,True
89,KDA,0,1,146,0.9063680171966553,0.0156,0.0658,1.0646,0,True
89,KDA,0,1,147,0.9104639887809753,0.0297,0.0296,1.0426,0,True
89,KDA,0,1,148,0.907039999961853,0.0183,0.0839,1.1141,0,True
89,KDA,0,1,149,0.9172160029411316,0.0275,0.0282,1.0438,0,True
89,KDA,0,1,150,1.144063949584961,0.0146,0.0717,1.3393,0,True
89,KDA,0,1,151,0.9166079759597778,0.0292,0.0801,1.1601,0,True
89,KDA,0,1,152,0.9175360202789307,0.0253,0.0291,1.0428,0,True
89,KDA,0,1,153,0.9356160163879395,0.0173,0.0295,1.0219,0,True
89,KDA,0,1,154,0.8949440121650696,0.0175,0.0291,0.9781,0,True
89,KDA,0,1,155,0.9077759981155396,0.017,0.0293,0.993,0,True
89,KDA,0,1,156,0.9049599766731262,0.0147,0.0302,0.9871,0,True
89,KDA,0,1,157,0.9053760170936584,0.0152,0.0292,0.99,0,True
89,KDA,0,1,158,0.9056000113487244,0.0167,0.0293,0.9885,0,True
89,KDA,0,1,159,0.9103360176086426,0.0173,0.0294,0.9963,0,True
89,KDA,0,1,160,0.9071360230445862,0.0159,0.0293,0.9896,0,True
89,KDA,0,1,161,0.9128640294075012,0.0158,0.0385,1.1326,0,True
89,KDA,0,1,162,0.9051839709281921,0.0225,0.031,1.0235,0,True
89,KDA,0,1,163,1.3100160360336304,0.0183,0.0716,1.5044,0,True
89,KDA,0,1,164,0.9124799966812134,0.0269,0.0301,1.039,0,True
89,KDA,0,1,165,0.9088320136070251,0.0178,0.1096,1.1776,0,True
89,KDA,0,1,166,0.9036800265312195,0.1344,0.0413,1.3044,0,True
89,KDA,0,1,167,0.9079359769821167,0.0228,0.0498,1.0606,0,True
89,KDA,0,1,168,0.9120640158653259,0.0236,0.0298,1.025,0,True
89,KDA,0,1,169,0.9092479944229126,0.0152,0.0296,0.9975,0,True
89,KDA,0,1,170,0.9055039882659912,0.0164,0.0293,0.991,0,True
89,KDA,0,1,171,0.9051839709281921,0.0167,0.0293,0.993,0,True
89,KDA,0,1,172,0.8952320218086243,0.0162,0.0293,0.9789,0,True
89,KDA,0,1,173,0.9053120017051697,0.0178,0.0296,0.9913,0,True
89,KDA,0,1,174,0.9313920140266418,0.0184,0.0291,1.0211,0,True
89,KDA,0,1,175,0.8958399891853333,0.0175,0.0664,1.059,0,True
89,KDA,0,1,176,0.9029120206832886,0.0276,0.0484,1.0707,0,True
89,KDA,0,1,177,0.9048960208892822,0.0243,0.0296,1.021,0,True
89,KDA,0,1,178,0.9079679846763611,0.0189,0.0296,0.9959,0,True
89,KDA,0,1,179,0.9046080112457275,0.0186,0.0295,0.9939,0,True
89,KDA,0,1,180,0.9060159921646118,0.0158,0.0296,0.9869,0,True
89,KDA,0,1,181,1.2851519584655762,0.0128,0.0932,1.4966,0,True
89,KDA,0,1,182,0.9366080164909363,0.052,0.0643,1.1745,0,True
89,KDA,0,1,183,0.9142720103263855,0.0273,0.0302,1.0505,0,True
89,KDA,0,1,184,0.9037759900093079,0.033,0.029,1.0033,0,True
89,KDA,0,1,185,0.9068800210952759,0.0192,0.0293,0.9921,0,True
89,KDA,0,1,186,0.9068800210952759,0.0146,0.0297,0.9927,0,True
89,KDA,0,1,187,0.9080320000648499,0.0153,0.0298,0.9932,0,True
89,KDA,0,1,188,0.9086719751358032,0.0144,0.0291,0.9886,0,True
89,KDA,0,1,189,0.9083200097084045,0.0164,0.029,0.9951,0,True
89,KDA,0,1,190,0.9265919923782349,0.0161,0.03,1.0179,0,True
89,KDA,0,1,191,0.8966400027275085,0.0151,0.03,0.9895,0,True
