split,candidate_id,candidate_type,degree,layer,layer_type,rows,sample_index,wall_ms,device_ms,finite_output,production_native_dispatch,timed_checkpoint_reads,resident_weights,resident_memory_bytes
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,63,5.8011,5.369664192199707,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,64,5.9512,5.5338239669799805,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,65,5.8164,5.405248165130615,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,66,5.742,5.340447902679443,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,67,5.9618,5.51859188079834,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,68,5.8687,5.454400062561035,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,69,5.7338,5.332863807678223,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,70,5.9256,5.533184051513672,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,71,5.8988,5.468224048614502,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,72,5.7668,5.368319988250732,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,73,6.1596,5.696800231933594,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,74,5.9403,5.478015899658203,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,75,5.7255,5.354176044464111,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,76,6.1044,5.555808067321777,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,77,5.9428,5.44214391708374,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,78,5.8314,5.356383800506592,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,79,5.983,5.520448207855225,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,2,80,5.9363,5.470911979675293,True,True,0,True,18285068288
