inventory_id,arm,network_mode,concurrency,layer_id,logical_group_id,primary_node,alternate_node,selected_primary_count,selected_alternate_count,alternate_selection_rate
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,12,2,coarse-047,coarse-014,506,139,0.21550387596899226
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,12,3,coarse-045,coarse-014,501,144,0.22325581395348837
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,12,4,coarse-027,coarse-014,483,162,0.25116279069767444
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,12,5,coarse-005,coarse-014,552,93,0.14418604651162792
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,12,6,coarse-017,coarse-014,497,148,0.22945736434108527
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,12,7,coarse-044,coarse-014,475,170,0.26356589147286824
coarse-friendly-02,FLEX_FREE,SHARED_NIC,1,2,0,coarse-000,coarse-004,640,0,0.0
coarse-friendly-02,FLEX_FREE,SHARED_NIC,1,2,1,coarse-007,coarse-004,512,128,0.2
coarse-friendly-02,FLEX_FREE,SHARED_NIC,1,2,2,coarse-018,coarse-004,512,128,0.2
coarse-friendly-02,FLEX_FREE,SHARED_NIC,1,2,3,coarse-037,coarse-004,640,0,0.0
coarse-friendly-02,FLEX_FREE,SHARED_NIC,1,2,4,coarse-038,coarse-004,640,0,0.0
coarse-friendly-02,FLEX_FREE,SHARED_NIC,1,2,5,coarse-039,coarse-004,640,0,0.0
coarse-friendly-02,FLEX_FREE,SHARED_NIC,1,2,6,coarse-047,coarse-004,640,0,0.0
coarse-friendly-02,FLEX_FREE,SHARED_NIC,1,2,7,coarse-035,coarse-004,640,0,0.0
coarse-friendly-02,FLEX_FREE,SHARED_NIC,8,2,0,coarse-000,coarse-004,571,34,0.05619834710743802
coarse-friendly-02,FLEX_FREE,SHARED_NIC,8,2,1,coarse-007,coarse-004,421,184,0.30413223140495865
coarse-friendly-02,FLEX_FREE,SHARED_NIC,8,2,2,coarse-018,coarse-004,484,121,0.2
coarse-friendly-02,FLEX_FREE,SHARED_NIC,8,2,3,coarse-037,coarse-004,456,149,0.2462809917355372
coarse-friendly-02,FLEX_FREE,SHARED_NIC,8,2,4,coarse-038,coarse-004,488,117,0.1933884297520661
coarse-friendly-02,FLEX_FREE,SHARED_NIC,8,2,5,coarse-039,coarse-004,493,112,0.18512396694214875
coarse-friendly-02,FLEX_FREE,SHARED_NIC,8,2,6,coarse-047,coarse-004,489,116,0.19173553719008266
coarse-friendly-02,FLEX_FREE,SHARED_NIC,8,2,7,coarse-035,coarse-004,455,150,0.24793388429752067
coarse-friendly-02,FLEX_FREE,SHARED_NIC,32,2,0,coarse-000,coarse-004,453,32,0.06597938144329897
coarse-friendly-02,FLEX_FREE,SHARED_NIC,32,2,1,coarse-007,coarse-004,346,139,0.2865979381443299
coarse-friendly-02,FLEX_FREE,SHARED_NIC,32,2,2,coarse-018,coarse-004,386,99,0.20412371134020618
coarse-friendly-02,FLEX_FREE,SHARED_NIC,32,2,3,coarse-037,coarse-004,354,131,0.27010309278350514
coarse-friendly-02,FLEX_FREE,SHARED_NIC,32,2,4,coarse-038,coarse-004,396,89,0.18350515463917524
coarse-friendly-02,FLEX_FREE,SHARED_NIC,32,2,5,coarse-039,coarse-004,396,89,0.18350515463917524
coarse-friendly-02,FLEX_FREE,SHARED_NIC,32,2,6,coarse-047,coarse-004,400,85,0.17525773195876287
coarse-friendly-02,FLEX_FREE,SHARED_NIC,32,2,7,coarse-035,coarse-004,373,112,0.2309278350515464
coarse-friendly-02,FLEX_FREE,SHARED_NIC,64,2,0,coarse-000,coarse-004,301,24,0.07384615384615385
coarse-friendly-02,FLEX_FREE,SHARED_NIC,64,2,1,coarse-007,coarse-004,230,95,0.2923076923076923
coarse-friendly-02,FLEX_FREE,SHARED_NIC,64,2,2,coarse-018,coarse-004,269,56,0.1723076923076923
coarse-friendly-02,FLEX_FREE,SHARED_NIC,64,2,3,coarse-037,coarse-004,237,88,0.27076923076923076
coarse-friendly-02,FLEX_FREE,SHARED_NIC,64,2,4,coarse-038,coarse-004,270,55,0.16923076923076924
coarse-friendly-02,FLEX_FREE,SHARED_NIC,64,2,5,coarse-039,coarse-004,274,51,0.15692307692307692
coarse-friendly-02,FLEX_FREE,SHARED_NIC,64,2,6,coarse-047,coarse-004,260,65,0.2
coarse-friendly-02,FLEX_FREE,SHARED_NIC,64,2,7,coarse-035,coarse-004,253,72,0.22153846153846155
coarse-friendly-02,FLEX_FREE,SHARED_NIC,128,2,0,coarse-000,coarse-004,602,43,0.06666666666666667
coarse-friendly-02,FLEX_FREE,SHARED_NIC,128,2,1,coarse-007,coarse-004,478,167,0.2589147286821705
coarse-friendly-02,FLEX_FREE,SHARED_NIC,128,2,2,coarse-018,coarse-004,511,134,0.20775193798449612
coarse-friendly-02,FLEX_FREE,SHARED_NIC,128,2,3,coarse-037,coarse-004,485,160,0.24806201550387597
coarse-friendly-02,FLEX_FREE,SHARED_NIC,128,2,4,coarse-038,coarse-004,535,110,0.17054263565891473
coarse-friendly-02,FLEX_FREE,SHARED_NIC,128,2,5,coarse-039,coarse-004,527,118,0.18294573643410852
coarse-friendly-02,FLEX_FREE,SHARED_NIC,128,2,6,coarse-047,coarse-004,504,141,0.2186046511627907
coarse-friendly-02,FLEX_FREE,SHARED_NIC,128,2,7,coarse-035,coarse-004,501,144,0.22325581395348837
coarse-friendly-02,FLEX_POOL,LEGACY_DIRECTED_LINK,1,2,0,coarse-000,coarse-004,640,0,0.0
